Blue,#0000FF
Blue (Computer web color),#0000FF
Blue (CMYK) (pigment blue),#333399
Blue (Pantone),#0018A8
Blue (NCS),#0087BD
Blue (Munsell),#0093AF
Blue (Crayola),#1F75FE
Periwinkle,#CCCCFF
Ultramarine,#4000FF
Medium Blue,#0000CD
Savoy blue,#4B61D1
Liberty,#545AA7
Egyptian Blue,#1034A6
Neon Blue,#4D4DFF
Dark Blue,#00008B
Picotee Blue,#2E2787
Bluebonnet,#1C1CF0
Navy Blue,#000080
Midnight Blue,#191970
Independence,#4C516D
Space Cadet,#1E2952
Twin Bed,#BEDBED
International Klein Blue,#120A8F
Original Blurple,#7289da
Blurple,#5865f2
Cool black (PMS 295),#002E63
Baby blue,#89CFF0
Light blue,#ADD8E6
Powder Blue,#B0E0E6
Uranian Blue,#AFDBF5
Argentinian Blue,#6CB4EE
Ruddy Blue,#76ABDF
Celtic Blue,#246BCE
Spanish Blue,#0070BB
Bleu de France,#318CE7
Delft Blue,#1F305E
Duck Blue,#007791
Resolution Blue,#002387
Polynesian Blue,#224C98
Chefchaouen Blue,#468fea
Sapphire,#082567
Fluorescent blue,#15F4EE
Teal blue,#367588
