Cyan,#00FFFF
Cyan (subtractive primary),#00B7EB
Cyan (additive secondary),#00FFFF
Azure (web),#F0FFFF
Blue-green,#0D98BA
Caribbean Current,#006D6F
Celeste,#B2FFFF
Charleston green,#232B2B
Dark cyan,#008B8B
Electric blue,#7DF9FF
Keppel,#3AB09E
Light cyan,#E0FFFF
Light sea green,#20B2AA
Midnight green,#004953
Moonstone,#3AA8C1
Myrtle green,#317873
Peacock blue,#004958
Robin egg blue,#00CCCC
Skobeloff,#007474
Sky blue (Crayola),#80DAEB
Teal,#008080
Tiffany Blue,#81D8D0
Turquoise,#40E0D0
Verdigris,#43B3AE
Zomp,#39A78D
