Magenta,#FF00FF
Magenta dye,#CA1F7B
Magenta (subtractive primary),#FF0090
Magenta (additive secondary),#FF00FF
Magenta (Pantone),#D0417E
Magenta (Crayola),#F653A6
Dark Magenta,#8B008B
Hot Magenta,#FF1DCE
Magenta Haze,#9F4576
Quinacridone Magenta,#9A114F
Sky Magenta,#CF71AF
Telemagenta,#CF3476
Amaranth purple,#AB274F
Orchid,#DA70D6
Pale Purple,#FAE6FA
Plum (Crayola),#843179
Purple Pizzazz,#FE4EDA
Razzle dazzle rose,#FF33CC
Rose quartz,#AA98A9
Shocking Pink,#FC0FC0
Shocking Pink (Crayola), formerly known as Ultra Pink,#FF6FFF
Steel Pink,#CC33CC
Violet (web color),#EE82EE
African Violet,#B284BE
English Violet,#563C5C
Chinese Violet,#856088
Violet (JTC),#5B3256
Finn,#683068
