Red,#FF0000
Red (RGB),#FF0000
Red (CMYK) (pigment red),#ED1B24
Red (Crayola),#8C1127
Red (Munsell),#F2003C
Red (NCS),#C40234
Red (Pantone),#ED2839
Madder,#A50021
Brink pink,#FB607F
Crimson,#DC143C
Pink,#FFC0CB
Salmon Pink,#FF91A4
Cardinal,#C51E3A
Apple red,#BE0032
Poppy red,#DC343B
Carmine,#960018
Spanish red / Rojo,#E60026
Rusty red,#DA2C43
Chocolate Cosmos,#58111A
Rosewood,#65000B
Imperial Red,#ED2939
Cordovan,#893F45
Fire engine red,#CE2029
Rose vale,#AB4E52
Old rose,#C08081
Bittersweet shimmer,#BF4F51
Light red,#FF7F7F
Light coral,#F08080
Garnet,#733635
Rose ebony,#674846
Chili red,#E03C31
Vermilion,#E34234
Misty rose,#FFE4E1
Turkey red,#A91101
Salmon,#FA8072
Coral Pink,#F88379
Cantaloupe Melon,#FDBCB4
Barn Red,#7C0902
Blood red,#660000
Tea rose,#F4C2C2
Cinnabar,#E44D2E
Dark red,#8B0000
Fire brick,#B22222
Indian Red,#CD5C5C
Lust,#E62020
Maroon,#800000
Redwood,#A45953
Scarlet,#FF2400
Tomato,#FF6347
Jasper,#D05340
Rosy brown,#BC8F8F
Rose taupe,#905D5D
Fluorescent red,#FF2226
